#filename	#author	#title	#year	#genre
armlur-2026.07.05.txt	Ժողովուրդ	Ստուգումներ են սկսվել «Գազպրոմ Արմենիա» ընկերությունում	2026	press
panarmenian-2020.10.22.txt	panarmenian.net	14-ամյա Բորիսի օնլայն shop-ն ու օֆլայն երազանքները	2020	press
armenpress_article_AI-2026-07-06.txt	armenpress.am	ՀՀ ԲՏԱ նախարարության աջակցությամբ հայկական ընկերությունները մասնակցել են «GITEX AI EUROPE 2026» միջազգային տեխնոլոգիական ցուցահանդեսին	2026	press
Alps_Violet_1927.txt	Ակսել Բակունց	Ալպիական մանուշակ	1927	prose
Girl_with_Matchsticks.txt	Զավէն Տիգրանի	Փոքրիկ աղջիկը և լուցկիները		prose
hetq_magnitskiy_2026.txt	Էդիկ Բաղդասարյան	«Մագնիտսկու գործի» հետքերով. կասկածելի կես միլիոն ֆրանկը Շվեյցարիայից հասել է Հայաստան	2026	press
tale-1881.txt	Ղազարոս Աղայան	«Անահիտ»	1881	folk-tale
				
				
				
HovigAfian.txt	Զանգակ	Չաստվածաշունչ	2026	Book description
tern_u_tsaran_tumanyan_1908.txt	Հովհաննես Թումանյան	Տերն ու Ծառան	1908	tale
Hemingway.txt	Զանգակ	Ծերունին և ծովը	2026	Book description
golden_apricot_article_2026.txt	Ոսկե Ծիրան	«Ոսկե ծիրան» -ի GAIFF Pro հարթակը կներկայացնի արհեստական բանականությանը նվիրված աշխատարան	2026	press
				
				
				
				
galoyan.txt	Գալոյան Դիանա	Հայաստանի Հանրապետության տնտեսական ինտեգրման հիմնախնդիրները	2004	Abstract
ayvazyan.txt	Այվազյան Անդրանիկ	«Լեզվաբանության ներածություն» առարկայի բովանդակային շեշտադրումների փոփոխության անհրաժեշտությունը հայաստանյան բուհական միջավայրում	2025	article
armtimes.txt	Խաչատրյան Մերի 	Բոլոր ժամանակների գանձը	2022	press
WiliamSaroyan	Ջուլիետա Կաճոյան	Մեծ հայը	2023	memoir/press
